yr box.1 box.2 box.3 box.4
1970 0.72125012 0.0019824 0.0003115 0.0012474
1971 0.81822097 0.034024 0.0017166 0.0020934
1972 0.85432459 0.0601936 0.0017468 0.0018853
1973 0.9686755 0.0998749 0.004187 0.0030473
1974 0.9853275 0.1292273 0.00451 0.0023953
1975 1.1371114 0.2011513 0.007677 0.0040583
1976 1.3605784 0.2548433 0.014464 0.0060123
1977 1.5058323 0.3059734 0.025472 0.008467
1978 1.6134272 0.3506754 0.033325 0.010497
1979 1.8912295 0.4305445 0.04711 0.013941
1980 1.9697588 0.5017256 0.05937 0.015658
1981 2.0206074 0.4929868 0.08685 0.018165
1982 2.2034827 0.5086979 0.09329 0.020431
1983 2.2092373 0.5183691 0.09796 0.021385
1984 2.4684939 0.6394603 0.10993 0.023028
1985 2.6535488 0.7487916 0.11987 0.025961
1986 2.8405664 0.7750328 0.13212 0.027891
1987 2.9981183 0.8008741 0.13871 0.028358
1988 3.2500432 0.7886054 0.14695 0.0279
1989 3.3975011 0.8571767 0.1555 0.027719
1990 3.7035353 0.8753481 0.16645 0.025122
1991 4.1488865 0.9016495 0.1529 0.0261
1992 4.2808117 0.8683609 0.15133 0.02891
1993 4.2473342 0.7659024 0.1465 0.0275
1994 4.4058964 0.6666338 0.13687 0.02877
1995 4.6248639 0.5825553 0.12753 0.029925
1996 4.6423137 0.5753669 0.11957 0.033445
1997 4.4571415 0.5546385 0.11801 0.033892
1998 4.4482853 0.5524601 0.1192 0.035886
1999 4.3576401 0.6015917 0.12338 0.033875
2000 4.1332142 0.6140834 0.11799 0.031801
2001 3.9149503 0.6534551 0.12625 0.030954
2002 4.1036144 0.7067468 0.13652 0.032609
2003 4.3122978 0.7534586 0.15032 0.034119
2004 4.2928032 0.7666004 0.15476 0.035205
2005 4.4593456 0.8307722 0.16389 0.036605
2006 4.7342197 0.8768739 0.17234 0.038543
2007 5.0182761 0.9312357 0.18066 0.040577
2008 5.2782445 0.9856075 0.18905 0.042601
