Year HCFC141B.box.1 HCFC141B.box.2 HCFC141B.box.3 HCFC141B.box.4 HCFC141B.sd.1 HCFC141B.sd.2 HCFC141B.sd.3 HCFC141B.sd.4 HFC134A.box.1 HFC134A.box.2 HFC134A.box.3 HFC134A.box.4 HFC134A.sd.1 HFC134A.sd.2 HFC134A.sd.3 HFC134A.sd.4 N2O.box.1 N2O.box.2 N2O.box.3 N2O.box.4 N2O.sd.1 N2O.sd.2 N2O.sd.3 N2O.sd.4 SF6.box.1 SF6.box.2 SF6.box.3 SF6.box.4 SF6.sd.1 SF6.sd.2 SF6.sd.3 SF6.sd.4 CFC11.box.1 CFC11.box.2 CFC11.box.3 CFC11.box.4 CFC11.sd.1 CFC11.sd.2 CFC11.sd.3 CFC11.sd.4 CFC12.box.1 CFC12.box.2 CFC12.box.3 CFC12.box.4 CFC12.sd.1 CFC12.sd.2 CFC12.sd.3 CFC12.sd.4 HCFC22.box.1 HCFC22.box.2 HCFC22.box.3 HCFC22.box.4 HCFC22.sd.1 HCFC22.sd.2 HCFC22.sd.3 HCFC22.sd.4
1977.042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1977.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 151.622 140.143 NA 130.988 1.99443 3.93081 NA 0.341889 NA NA NA 229.904 NA NA NA 0.423943 NA NA NA NA NA NA NA NA
1977.208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 150.798 140.14 NA 131.996 0.499722 2.45558 NA 0.20318 NA NA NA 231.502 NA NA NA 0.555814 NA NA NA NA NA NA NA NA
1977.292 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 150.157 140.271 NA 133.065 0.459083 4.27488 NA 0.20318 NA NA NA 233.264 NA NA NA 0.555814 NA NA NA NA NA NA NA NA
1977.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 149.722 140.525 NA 134.161 2.03085 4.63308 NA 0.20318 NA NA NA 235.114 NA NA NA 0.555814 NA NA NA NA NA NA NA NA
1977.458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 149.488 140.892 NA 135.285 0.514195 3.62446 NA 0.20318 NA NA NA 237.023 NA NA NA 0.493297 NA NA NA NA NA NA NA NA
1977.542 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 149.448 141.376 NA 136.45 0.660944 1.94184 NA 0.20318 256.05 NA NA 238.988 0.473393 NA NA 0.555814 NA NA NA NA NA NA NA NA
1977.625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 149.601 141.977 133.343 137.655 1.3086 1.23486 2.45161 0.20318 259.903 NA 239.43 240.992 0.978686 NA 5.36835 0.555814 NA NA NA NA NA NA NA NA
1977.708 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 149.948 142.703 134.104 138.898 0.465355 0.598577 2.62603 0.20318 263.538 261.721 242.073 243.023 0.905954 4.51525 5.38773 0.555814 NA NA NA NA NA NA NA NA
1977.792 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 150.562 143.65 134.885 140.162 0.367757 1.87114 1.78299 0.20318 267.023 265.04 244.548 245.091 0.905954 1.54593 4.38964 0.555814 NA NA NA NA NA NA NA NA
