MM HCFC141B.box.1 HCFC141B.box.2 HCFC141B.box.3 HCFC141B.box.4 HCFC141B.box.5 HFC134A.box.1 HFC134A.box.2 HFC134A.box.3 HFC134A.box.4 HFC134A.box.5 N2O.box.1 N2O.box.2 N2O.box.3 N2O.box.4 N2O.box.5 SF6.box.1 SF6.box.2 SF6.box.3 SF6.box.4 SF6.box.5 CFC11.box.1 CFC11.box.2 CFC11.box.3 CFC11.box.4 CFC11.box.5 CFC12.box.1 CFC12.box.2 CFC12.box.3 CFC12.box.4 CFC12.box.5 HCFC22.box.1 HCFC22.box.2 HCFC22.box.3 HCFC22.box.4 HCFC22.box.5
1 1.04468818952998e-09 4.99915637124396e-09 5.10189675375604e-09 1.40612118547002e-09 9.384775e-09 7.82082805214922e-10 3.77100851161155e-09 3.85139461338845e-09 1.05649594478508e-09 1.601140625e-10 1.00468639751037e-12 1.6018652248342e-12 1.7369597751658e-12 1.24581141498963e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 1.86963683857052e-12 3.72587834205492e-12 3.96505290794508e-12 2.40073503642948e-12 6e-09 1.08154158297651e-12 1.71758510536881e-12 1.86529926963119e-12 1.34072404202349e-12 1.5549375e-09 8.76803217081274e-10 4.19721255881246e-09 4.28290306618754e-09 1.17978897041873e-09 0
2 1.12106796875e-09 5.02086796875e-09 5.08018515625e-09 1.32974140625e-09 9.384775e-09 8.40073125e-10 3.78799609375e-09 3.83440703125e-09 9.98505625e-10 1.601140625e-10 1.055642109375e-12 1.6304140625e-12 1.7084109375e-12 1.194855703125e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 1.98187109375e-12 3.776421875e-12 3.914509375e-12 2.28850078125e-12 6e-09 1.13631328125e-12 1.74880078125e-12 1.83408359375e-12 1.28595234375e-12 1.5549375e-09 9.40831640625e-10 4.21532109375e-09 4.26479453125e-09 1.115760546875e-09 0
3 1.2254046875e-09 5.0505265625e-09 5.0505265625e-09 1.2254046875e-09 9.384775e-09 9.19289375e-10 3.8112015625e-09 3.8112015625e-09 9.19289375e-10 1.601140625e-10 1.12524890625e-12 1.6694125e-12 1.6694125e-12 1.12524890625e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 2.1351859375e-12 3.845465625e-12 3.845465625e-12 2.1351859375e-12 6e-09 1.2111328125e-12 1.7914421875e-12 1.7914421875e-12 1.2111328125e-12 1.5549375e-09 1.02829609375e-09 4.2400578125e-09 4.2400578125e-09 1.02829609375e-09 0
4 1.32974140625e-09 5.08018515625e-09 5.02086796875e-09 1.12106796875e-09 9.384775e-09 9.98505625e-10 3.83440703125e-09 3.78799609375e-09 8.40073125e-10 1.601140625e-10 1.194855703125e-12 1.7084109375e-12 1.6304140625e-12 1.055642109375e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 2.28850078125e-12 3.914509375e-12 3.776421875e-12 1.98187109375e-12 6e-09 1.28595234375e-12 1.83408359375e-12 1.74880078125e-12 1.13631328125e-12 1.5549375e-09 1.115760546875e-09 4.26479453125e-09 4.21532109375e-09 9.40831640625e-10 0
5 1.40612118547002e-09 5.10189675375604e-09 4.99915637124396e-09 1.04468818952998e-09 9.384775e-09 1.05649594478508e-09 3.85139461338845e-09 3.77100851161155e-09 7.82082805214922e-10 1.601140625e-10 1.24581141498963e-12 1.7369597751658e-12 1.6018652248342e-12 1.00468639751037e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 2.40073503642948e-12 3.96505290794508e-12 3.72587834205492e-12 1.86963683857052e-12 6e-09 1.34072404202349e-12 1.86529926963119e-12 1.71758510536881e-12 1.08154158297651e-12 1.5549375e-09 1.17978897041873e-09 4.28290306618754e-09 4.19721255881246e-09 8.76803217081274e-10 0
6 1.434078125e-09 5.10984375e-09 4.991209375e-09 1.01673125e-09 9.384775e-09 1.077721875e-09 3.8576125e-09 3.764790625e-09 7.60856875e-10 1.601140625e-10 1.2644625e-12 1.747409375e-12 1.591415625e-12 9.860353125e-13 1.973496875e-09 0 0 0 0 3.48857491714635e-10 2.441815625e-12 3.983553125e-12 3.707378125e-12 1.82855625e-12 6e-09 1.360771875e-12 1.876725e-12 1.706159375e-12 1.06149375e-12 1.5549375e-09 1.203225e-09 4.28953125e-09 4.190584375e-09 8.533671875e-10 0
7 1.40612118547002e-09 5.10189675375604e-09 4.99915637124396e-09 1.04468818952998e-09 9.384775e-09 1.05649594478508e-09 3.85139461338845e-09 3.77100851161155e-09 7.82082805214922e-10 1.601140625e-10 1.24581141498963e-12 1.7369597751658e-12 1.6018652248342e-12 1.00468639751037e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 2.40073503642948e-12 3.96505290794508e-12 3.72587834205492e-12 1.86963683857052e-12 6e-09 1.34072404202349e-12 1.86529926963119e-12 1.71758510536881e-12 1.08154158297651e-12 1.5549375e-09 1.17978897041873e-09 4.28290306618754e-09 4.19721255881246e-09 8.76803217081274e-10 0
8 1.32974140625e-09 5.08018515625e-09 5.02086796875e-09 1.12106796875e-09 9.384775e-09 9.98505625e-10 3.83440703125e-09 3.78799609375e-09 8.40073125e-10 1.601140625e-10 1.194855703125e-12 1.7084109375e-12 1.6304140625e-12 1.055642109375e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 2.28850078125e-12 3.914509375e-12 3.776421875e-12 1.98187109375e-12 6e-09 1.28595234375e-12 1.83408359375e-12 1.74880078125e-12 1.13631328125e-12 1.5549375e-09 1.115760546875e-09 4.26479453125e-09 4.21532109375e-09 9.40831640625e-10 0
9 1.2254046875e-09 5.0505265625e-09 5.0505265625e-09 1.2254046875e-09 9.384775e-09 9.19289375e-10 3.8112015625e-09 3.8112015625e-09 9.19289375e-10 1.601140625e-10 1.12524890625e-12 1.6694125e-12 1.6694125e-12 1.12524890625e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 2.1351859375e-12 3.845465625e-12 3.845465625e-12 2.1351859375e-12 6e-09 1.2111328125e-12 1.7914421875e-12 1.7914421875e-12 1.2111328125e-12 1.5549375e-09 1.02829609375e-09 4.2400578125e-09 4.2400578125e-09 1.02829609375e-09 0
10 1.12106796875e-09 5.02086796875e-09 5.08018515625e-09 1.32974140625e-09 9.384775e-09 8.40073125e-10 3.78799609375e-09 3.83440703125e-09 9.98505625e-10 1.601140625e-10 1.055642109375e-12 1.6304140625e-12 1.7084109375e-12 1.194855703125e-12 1.973496875e-09 0 0 0 0 3.48857491714635e-10 1.98187109375e-12 3.776421875e-12 3.914509375e-12 2.28850078125e-12 6e-09 1.13631328125e-12 1.74880078125e-12 1.83408359375e-12 1.28595234375e-12 1.5549375e-09 9.40831640625e-10 4.21532109375e-09 4.26479453125e-09 1.115760546875e-09 0
